file,jsx_strings,attr_strings,total_hardcoded,t_calls
components/bot-mini-app/MiniAppWalletPanel.jsx,4,0,4,0
components/builder/WebsiteGeneratorExportPanel.jsx,2,2,4,0
components/builder/WebsiteGeneratorSectionActions.jsx,4,0,4,0
components/cards/BattleReplayViewer.jsx,4,0,4,0
components/dashboard/AnalyticsWidget.jsx,4,0,4,0
components/dashboard/AppDock.jsx,3,1,4,0
components/dashboard/QuickActions.jsx,4,0,4,0
components/jackie/CodeWorkspace.jsx,4,0,4,0
components/jackie/IntegrationsPanel.jsx,4,0,4,0
components/messages/InvestmentCollaborationPanel.jsx,4,0,4,0
components/nav/QuickActionsPopover.jsx,3,1,4,0
components/notifications/NotificationCenter.jsx,4,0,4,0
components/referrals/ReferralLeaderboard.jsx,4,0,4,0
components/storefront/ListingManager.jsx,2,2,4,0
components/telegram/TelegramFirstBanner.jsx,4,0,4,0
components/telegram/TelegramHandoffInbox.jsx,4,0,4,0
components/theme/Base44ThemeEditor.jsx,4,0,4,0
components/ui/sidebar.jsx,1,3,4,0
components/AnimatedBackground.jsx,3,0,3,0
components/BlockchainMetrics.jsx,3,0,3,0
components/FloatingQuickActions.jsx,2,1,3,0
components/bot-farm/BotFarmAssignmentPanel.jsx,3,0,3,0
components/bot-farm/BotFarmHeader.jsx,3,0,3,0
components/bot-farm/BotFarmUtils.jsx,3,0,3,0
components/bot-mini-app/MiniAppTaskQueue.jsx,2,1,3,0
components/builder/WebsiteGeneratorProjectList.jsx,3,0,3,0
components/dashboard/DashboardPanelManager.jsx,3,0,3,0
components/dashboard/MotherboardMap.jsx,3,0,3,0
components/dashboard/PredictiveAnalytics.jsx,3,0,3,0
components/dashboard/RiskAssessment.jsx,3,0,3,0
components/jackie/AssetManager.jsx,2,1,3,0
components/jackie/CodeDiffPanel.jsx,3,0,3,0
components/jackie/InputBar.jsx,3,0,3,0
components/jta/JTABotAnalysis.jsx,3,0,3,0
components/messages/ChatRoom.jsx,2,1,3,0
components/portfolio/PerformanceBenchmarkPanel.jsx,3,0,3,0
components/portfolio/ScenarioAnalysisPanel.jsx,3,0,3,0
components/storefront/ExternalEmbedConfigurator.jsx,3,0,3,0
components/storefront/LovableEmbed.jsx,2,1,3,0
